test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,gemma2-9b-it,2025-04-24T09:40:42.433670+00:00,0.788,1318,88,1406,True,True,True,
test_005,prompt_1_elementos_basicos,gemma2-9b-it,2025-04-24T09:40:43.551489+00:00,0.816,1071,232,1303,True,True,True,
test_005,prompt_2_citas_datos,gemma2-9b-it,2025-04-24T09:40:44.294296+00:00,0.441,1070,21,1091,True,True,True,
test_005,prompt_3_relaciones,gemma2-9b-it,2025-04-24T09:40:45.062981+00:00,0.466,1327,38,1365,True,True,True,
test_005,prompt_4_json_final,gemma2-9b-it,2025-04-24T09:40:47.642985+00:00,2.278,1490,1032,2522,True,True,True,
test_069,prompt_0_filtrado,gemma2-9b-it,2025-04-24T09:40:49.187131+00:00,0.736,1318,194,1512,True,True,True,
test_069,prompt_1_elementos_basicos,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_069,prompt_2_citas_datos,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_069,prompt_3_relaciones,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_069,prompt_4_json_final,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_040,prompt_0_filtrado,gemma2-9b-it,2025-04-24T09:40:50.694495+00:00,1.004,1318,275,1593,True,True,True,
test_040,prompt_1_elementos_basicos,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_040,prompt_2_citas_datos,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_040,prompt_3_relaciones,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_040,prompt_4_json_final,gemma2-9b-it,,,,,,False,False,False,Pipeline stopped in previous step
test_047,prompt_0_filtrado,gemma2-9b-it,2025-04-24T09:40:51.697574+00:00,0.5,1318,63,1381,True,True,True,
test_047,prompt_1_elementos_basicos,gemma2-9b-it,2025-04-24T09:40:52.826050+00:00,0.826,1071,231,1302,True,True,True,
test_047,prompt_2_citas_datos,gemma2-9b-it,2025-04-24T09:40:53.560614+00:00,0.433,1070,21,1091,True,True,True,
test_047,prompt_3_relaciones,gemma2-9b-it,2025-04-24T09:40:54.305605+00:00,0.443,1327,38,1365,True,True,True,
test_047,prompt_4_json_final,gemma2-9b-it,2025-04-24T09:40:56.179456+00:00,1.572,1490,627,2117,True,True,True,
test_004,prompt_0_filtrado,gemma2-9b-it,2025-04-24T09:40:57.533691+00:00,0.55,1318,88,1406,True,True,True,
test_004,prompt_1_elementos_basicos,gemma2-9b-it,2025-04-24T09:40:58.646457+00:00,0.811,1071,231,1302,True,True,True,
test_004,prompt_2_citas_datos,gemma2-9b-it,2025-04-24T09:40:59.382720+00:00,0.435,1070,21,1091,True,True,True,
test_004,prompt_3_relaciones,gemma2-9b-it,2025-04-24T09:41:00.232495+00:00,0.548,1327,38,1365,True,True,True,
test_004,prompt_4_json_final,gemma2-9b-it,2025-04-24T09:41:02.089361+00:00,1.554,1490,625,2115,True,True,True,
