test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T10:27:14.894004+00:00,1.902,2507,338,2845,True,True,True,
test_005,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T10:27:19.191102+00:00,3.995,1975,937,2912,True,True,True,
test_005,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T10:27:25.693154+00:00,6.198,2965,1505,4470,True,True,True,
test_005,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T10:27:30.200575+00:00,4.205,4706,923,5629,True,True,True,
test_005,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T10:27:45.504254+00:00,15.0,5797,3952,9749,True,True,True,
test_069,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T10:27:48.122145+00:00,1.768,3323,374,3697,True,True,True,
test_069,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T10:27:54.700297+00:00,6.272,2791,1625,4416,True,True,True,
test_069,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T10:28:01.904797+00:00,6.897,4563,1743,6306,True,True,True,
test_069,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T10:28:07.442274+00:00,5.234,6545,1250,7795,True,True,True,
test_069,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T10:28:16.896600+00:00,9.152,8062,2299,10361,True,True,True,
test_040,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T10:28:19.576236+00:00,1.87,5613,342,5955,True,True,True,
test_040,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T10:28:23.808400+00:00,3.93,5081,914,5995,True,True,True,
test_040,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T10:28:28.179481+00:00,4.069,6107,944,7051,True,True,True,
test_040,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T10:28:32.264511+00:00,3.783,7234,840,8074,True,True,True,
test_040,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T10:28:46.303419+00:00,13.729,8356,3345,11701,True,True,True,
test_047,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T10:28:48.621465+00:00,1.384,1881,271,2152,True,True,True,
test_047,prompt_1_elementos_basicos,llama-3.3-70b-versatile,2025-04-24T10:28:51.936145+00:00,3.008,1349,759,2108,True,True,True,
test_047,prompt_2_citas_datos,llama-3.3-70b-versatile,2025-04-24T10:28:53.854850+00:00,1.612,2144,351,2495,True,True,True,
test_047,prompt_3_relaciones,llama-3.3-70b-versatile,2025-04-24T10:28:57.598799+00:00,3.437,2720,850,3570,True,True,True,
test_047,prompt_4_json_final,llama-3.3-70b-versatile,2025-04-24T10:29:06.909718+00:00,9.005,3737,2352,6089,True,True,True,
test_004,prompt_0_filtrado,llama-3.3-70b-versatile,2025-04-24T10:29:09.338575+00:00,1.621,2580,350,2930,True,True,True,
