test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_005,prompt_0_filtrado,llama3-8b-8192,2025-04-24T10:25:57.346631+00:00,1.222,2482,401,2883,True,True,True,
test_005,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T10:26:00.352588+00:00,2.704,1955,566,2521,True,True,True,
test_005,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T10:26:01.754614+00:00,1.098,2566,675,3241,True,True,True,
test_005,prompt_3_relaciones,llama3-8b-8192,2025-04-24T10:26:03.277927+00:00,1.221,3465,484,3949,True,True,True,
test_005,prompt_4_json_final,llama3-8b-8192,2025-04-24T10:26:06.064549+00:00,2.485,4117,1995,6112,True,True,True,
test_069,prompt_0_filtrado,llama3-8b-8192,2025-04-24T10:26:07.821444+00:00,0.952,3298,360,3658,True,True,True,
test_069,prompt_1_elementos_basicos,llama3-8b-8192,2025-04-24T10:26:10.111243+00:00,1.988,2771,1615,4386,True,True,True,
test_069,prompt_2_citas_datos,llama3-8b-8192,2025-04-24T10:26:11.580960+00:00,1.168,4419,410,4829,True,True,True,
test_069,prompt_3_relaciones,llama3-8b-8192,2025-04-24T10:26:13.877748+00:00,1.995,5056,1085,6141,True,True,True,
test_069,prompt_4_json_final,llama3-8b-8192,2025-04-24T10:26:16.845322+00:00,2.664,,,,False,False,False,"API_Error: BadRequestError: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n   ""articulo_metadata"": {\n      ""url"": ""https://www.clarin.com/politica/milei-se-endurece-macri-los-acausa-traicion_6QZLQ5LQJ.html"",\n      ""medio"": ""Clarín"",\n      ""pais_publicacion"": ""Argentina"",\n      ""tipo_medio"": ""diario"",\n      ""titular"": ""Milei se endurece con los Macri: los acusa de \'traición\' y de impedir un acuerdo en la Ciudad"",\n      ""fecha_publicacion"": ""2025-04-14"",\n      ""autor"": null,\n      ""idioma"": ""es"",\n      ""seccion"": ""Política"",\n      ""etiquetas_fuente"": [""Milei"", ""Macri"", ""traición"", ""acuerdo electoral""],\n      ""es_opinion"": false,\n      ""es_oficial"": false\n   },\n   ""hechos"": [\n      {\n         ""id"": 1,\n         ""contenido"": ""Milei se endurece con los Macri: los acusa de \'traición\' y de impedir un acuerdo en la Ciudad"",\n         ""fecha_ocurrencia"": {\n            ""inicio"": ""2025-04-14"",\n            ""fin"": ""2025-04-14""\n         },\n         ""precision_temporal"": ""dia"",\n         ""confiabilidad"": 4,\n         ""importancia"": 8,\n         ""tipo_hecho"": ""DECLARACION"",\n         ""pais"": [],\n         ""region"": [],\n         ""ciudad"": [],\n         ""etiquetas"": [""Milei"", ""Macri"", ""traición"", ""acuerdo electoral""],\n         ""es_evento_futuro"": false,\n         ""estado_programacion"": null\n      },\n      {\n         ""id"": 2,\n         ""contenido"": ""Larreta critica la gestión del Ejecutivo porteño"",\n         ""fecha_ocurrencia"": {\n            ""inicio"": ""2025-04-14"",\n            ""fin"": ""2025-04-14""\n         },\n         ""precision_temporal"": ""dia"",\n         ""confiabilidad"": 4,\n         ""importancia"": 6,\n         ""tipo_hecho"": ""DECLARACION"",\n         ""pais"": [],\n         ""region"": [],\n         ""ciudad"": [],\n         ""etiquetas"": [""Larreta"", ""gestión porteña""],\n         ""es_evento_futuro"": false,\n         ""estado_programacion"": null\n      },\n      ...\n   ],\n   ""entidades"": [\n      {\n         ""id"": 1,\n         ""nombre"": ""Javier Milei"",\n         ""tipo"": ""PERSONA"",\n         ""descripcion"": ""Presidente de La Libertad Avanza"",\n         ""alias"": [],\n         ""fecha_nacimiento"": null,\n         ""fecha_disolucion"": null,\n         ""relevancia"": 9,\n         ""metadata"": {}\n      },\n      {\n         ""id"": 2,\n         ""nombre"": ""Mauricio Macri"",\n         ""tipo"": ""PERSONA"",\n         ""descripcion"": ""Ex presidente de Argentina"",\n         ""alias"": [],\n         ""fecha_nacimiento"": null,\n         ""fecha_disolucion"": null,\n         ""relevancia"": 8,\n         ""metadata"": {}\n      },\n      ...\n   ],\n   ""citas_textuales"": [\n      {\n         ""id"": 1,\n         ""cita"": ""Están demonizando a mi hermana de una manera absolutamente injusta. Yo dije vamos juntos en todos lados. ¿Y yo desdoblé las elecciones en la Ciudad?"",\n         ""entidad_id"": 1,\n         ""hecho_id"": 1,\n         ""fecha"": ""2025-04-14"",\n         ""contexto"": ""Declarado en entrevista a FM El Observador"",\n         ""relevancia"": 4\n      },\n      ...\n   ],\n   ""relaciones"": {\n      ""hecho_entidad"": [\n         {\n            ""hecho_id"": 1,\n            ""entidad_id"": 1,\n            ""tipo_relacion"": ""protagonista"",\n            ""relevancia"": 9\n         },\n         ...\n      ],\n      ""hecho_relacionado"": [\n         {\n            ""hecho_origen_id"": 1,\n            ""hecho_destino_id"": 2,\n            ""tipo_relacion"": ""causa"",\n            ""fuerza"": 8,\n            ""descripcion"": ""La crítica de Milei a la gestión de Macri en la Ciudad fue causa de la disputa entre ambas fuerzas""\n         },\n         ...\n      ],\n      ""entidad_relacion"": [\n         {\n            ""entidad_origen_id"": 1,\n            ""entidad_destino_id"": 2,\n            ""tipo_relacion"": ""primo_de"",\n            ""descripcion"": ""Macri es primo de Jorge Macri"",\n            ""fecha_inicio"": null,\n            ""fecha_fin"": null,\n            ""fuerza"": 8\n         },\n         ...\n      ]\n   },\n   ""contradicciones"": []\n}'}}"
